slot_id,day,start,end
Mon-A,Monday,08:00,09:00
Mon-B,Monday,09:00,10:00
Mon-C,Monday,10:00,11:00
Mon-D,Monday,11:00,12:00
Mon-E,Monday,12:00,13:00
Tue-A,Tuesday,08:00,09:00
Tue-B,Tuesday,09:00,10:00
Tue-C,Tuesday,10:00,11:00
Tue-D,Tuesday,11:00,12:00
Tue-E,Tuesday,12:00,13:00
Wed-A,Wednesday,08:00,09:00
Wed-B,Wednesday,09:00,10:00
Wed-C,Wednesday,10:00,11:00
Wed-D,Wednesday,11:00,12:00
Wed-E,Wednesday,12:00,13:00
Thu-A,Thursday,08:00,09:00
Thu-B,Thursday,09:00,10:00
Thu-C,Thursday,10:00,11:00
Thu-D,Thursday,11:00,12:00
Thu-E,Thursday,12:00,13:00
Fri-A,Friday,08:00,09:00
Fri-B,Friday,09:00,10:00
Fri-C,Friday,10:00,11:00
Fri-D,Friday,11:00,12:00
Fri-E,Friday,12:00,13:00
